Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
19/12/2020,2020,12,19,26.4,24,29,1,35.2
20/12/2020,2020,12,20,26.6,23.9,29.1,1,33.3
21/12/2020,2020,12,21,26.7,25,29,1,33.3
22/12/2020,2020,12,22,26.5,24,29,1,40.8
23/12/2020,2020,12,23,25.9,25,29,1,42.6
24/12/2020,2020,12,24,26.6,25,28.7,1,44.5
25/12/2020,2020,12,25,26.8,25,29.6,1,44.5
26/12/2020,2020,12,26,26.6,25,30,1,42.6
27/12/2020,2020,12,27,26.3,24.4,28.6,1,40.8
28/12/2020,2020,12,28,26.3,23,29,1,38.9
29/12/2020,2020,12,29,25.9,23,28.4,1,37
30/12/2020,2020,12,30,26.4,24.7,29,1,38.9
31/12/2020,2020,12,31,26.7,24,29,1,40.8
01/01/2021,2021,1,1,25.9,24.9,28.1,1,40.8
01/02/2021,2021,1,2,26.5,25,28.7,1,37
01/03/2021,2021,1,3,26.1,24,28.2,1,35.2
01/04/2021,2021,1,4,25.1,23,28,1,31.5
01/05/2021,2021,1,5,26.2,24,29,1,35.2
01/06/2021,2021,1,6,26.5,23,30,1,33.3
01/07/2021,2021,1,7,25.8,22,28.6,1,33.3
01/08/2021,2021,1,8,26.4,23.4,29,0,33.3
01/09/2021,2021,1,9,26.9,24.7,29.6,0,35.2
01/10/2021,2021,1,10,26.8,25,29.6,3,35.2
01/11/2021,2021,1,11,27.3,24.7,30.3,6.1,31.5
01/12/2021,2021,1,12,26.7,24.5,29.9,20.1,42.6
13/01/2021,2021,1,13,26.4,24.3,29.8,3,38.9
14/01/2021,2021,1,14,26.7,24,29.5,1,33.3
15/01/2021,2021,1,15,27.4,24.5,30.5,2,29.6
16/01/2021,2021,1,16,27.6,25.5,30.2,0,35.2
17/01/2021,2021,1,17,27.7,25.5,30.2,0.5,35.2
18/01/2021,2021,1,18,27.3,25,31.1,0,44.5
19/01/2021,2021,1,19,27.6,24.5,32.1,4.1,38.9
20/01/2021,2021,1,20,27.8,24.4,31.5,0,35.2
21/01/2021,2021,1,21,27.4,24.6,30.3,7.1,37
22/01/2021,2021,1,22,27.6,24.7,30.1,0,31.5
23/01/2021,2021,1,23,27.4,24.5,31.1,0,31.5
24/01/2021,2021,1,24,27.2,24,31,0,27.8
25/01/2021,2021,1,25,26.3,23,30.7,0.3,27.8
26/01/2021,2021,1,26,26.4,21,30.5,0.3,25.9
27/01/2021,2021,1,27,26.5,22,31,0.3,29.6
28/01/2021,2021,1,28,26.2,23,31,1,33.3
29/01/2021,2021,1,29,27.7,24,32,1,37
30/01/2021,2021,1,30,28.1,26,31,1,31.5
31/01/2021,2021,1,31,28.1,26,31,1,33.3
02/01/2021,2021,2,1,27.9,26,30.4,1,35.2
02/02/2021,2021,2,2,28.5,27,31,1,35.2
02/03/2021,2021,2,3,28,26,31,1,37
02/04/2021,2021,2,4,27.4,24,30,1,35.2
02/05/2021,2021,2,5,27.6,24,30.2,1,33.3
02/06/2021,2021,2,6,26.7,23.7,30,1,35.2
02/07/2021,2021,2,7,27.8,24,31,1,40.8
02/08/2021,2021,2,8,28.3,26,31,1,33.3
02/09/2021,2021,2,9,26.9,24,29.7,1,33.3
02/10/2021,2021,2,10,27.2,25,30.1,1,33.3
02/11/2021,2021,2,11,27.8,26,30,1,33.3
02/12/2021,2021,2,12,27.3,25,30,1,33.3
13/02/2021,2021,2,13,27.6,25,31,1,35.2
14/02/2021,2021,2,14,27,24,30,1,31.5
15/02/2021,2021,2,15,27,23,31,1,33.3
16/02/2021,2021,2,16,26.5,25,28.7,1,35.2
17/02/2021,2021,2,17,27.1,24,30,1,24.1
18/02/2021,2021,2,18,27.7,24,31.6,1,24.1
19/02/2021,2021,2,19,26.4,25,29,1,29.6
20/02/2021,2021,2,20,27.6,25,31,1,37
21/02/2021,2021,2,21,27.1,25,30,1,38.9
22/02/2021,2021,2,22,26.7,24,30,1,35.2
23/02/2021,2021,2,23,27.7,25,30.4,1,33.3
24/02/2021,2021,2,24,27.4,25,30,1,31.5
25/02/2021,2021,2,25,26,22,29,1,31.5
26/02/2021,2021,2,26,27.1,23.5,30,1,38.9
27/02/2021,2021,2,27,27.4,25,30,1,37
28/02/2021,2021,2,28,26.3,24.3,29.4,1,33.3
03/01/2021,2021,3,1,26.7,23,30,1,29.6
03/02/2021,2021,3,2,27.2,25.9,30,1,31.5
03/03/2021,2021,3,3,27.1,25,30.3,1,29.6
03/04/2021,2021,3,4,26.9,24,30,1,27.8
03/05/2021,2021,3,5,26.3,23,31,1,25.9
03/06/2021,2021,3,6,27.5,23,32.4,1,33.3
03/07/2021,2021,3,7,27.1,26,29.5,1,46.3
03/08/2021,2021,3,8,27.2,24.6,30.3,1,29.6
03/09/2021,2021,3,9,27.3,24.6,30,1,24.1
03/10/2021,2021,3,10,27.6,24,30.8,0,29.6
03/11/2021,2021,3,11,27.7,26,30,0,31.5
03/12/2021,2021,3,12,27.2,24,30,0,29.6
13/03/2021,2021,3,13,27.8,26,30.6,1,31.5
14/03/2021,2021,3,14,26.4,24,29.1,1,27.8
15/03/2021,2021,3,15,25.8,24.5,29,1,29.6
16/03/2021,2021,3,16,27.4,25,30,1,29.6
17/03/2021,2021,3,17,26.9,23.7,30,1,22.2
18/03/2021,2021,3,18,26.5,23,29.2,1,31.5
19/03/2021,2021,3,19,26,22,30,1,29.6
20/03/2021,2021,3,20,26.8,24,29.6,1,29.6
21/03/2021,2021,3,21,27.4,26,30,1,29.6
22/03/2021,2021,3,22,27.6,26,30.2,1,31.5
23/03/2021,2021,3,23,27.4,23.7,30.8,1,27.8
24/03/2021,2021,3,24,26.7,24.5,30,1,29.6
25/03/2021,2021,3,25,26,23,31,1,29.6
26/03/2021,2021,3,26,26.4,23,30,1,29.6
27/03/2021,2021,3,27,26,23,30,1,29.6
28/03/2021,2021,3,28,26.6,22.9,31,1,37
29/03/2021,2021,3,29,26.2,23,30,1,37
30/03/2021,2021,3,30,25.5,23,31,1,37
31/03/2021,2021,3,31,26.5,22,31,1,37
04/01/2021,2021,4,1,26.8,24,30,1,37
04/02/2021,2021,4,2,26.8,24,30,1,37
04/03/2021,2021,4,3,27.4,24,30.4,1,37
04/04/2021,2021,4,4,27.3,25,30,1,37
04/05/2021,2021,4,5,27.8,26,31,1,37
04/06/2021,2021,4,6,27,24,30,1,37
04/07/2021,2021,4,7,26.9,23.7,30.1,1,37
04/08/2021,2021,4,8,27.2,25,30,1,37
04/09/2021,2021,4,9,26.1,23,29,1,37
